     n         h                l                k               nl               nk
     1  -0.28566759E+00   0.10358232E+00   0.00000000E+00   0.10358232E+00   0.00000000E+00
     2  -0.99079949E+00   0.23286695E-01  -0.30516104E+00   0.46573390E-01  -0.61032208E+00
     3  -0.10499631E+01   0.69892136E-01  -0.19585733E+00   0.20967641E+00  -0.58757199E+00
     4  -0.10526477E+01   0.58670467E-01  -0.13352284E+00   0.23468187E+00  -0.53409136E+00
     5  -0.10855918E+01   0.46165153E-01  -0.10456531E+00   0.23082577E+00  -0.52282655E+00
     6  -0.11431163E+01   0.38586926E-01  -0.90184841E-01   0.23152156E+00  -0.54110905E+00
     7  -0.12116273E+01   0.34198827E-01  -0.81906787E-01   0.23939179E+00  -0.57334751E+00
     8  -0.12831157E+01   0.31474998E-01  -0.76379141E-01   0.25179998E+00  -0.61103313E+00
     9  -0.13538554E+01   0.29624407E-01  -0.72250183E-01   0.26661966E+00  -0.65025165E+00
    10  -0.14223516E+01   0.28273961E-01  -0.68934145E-01   0.28273961E+00  -0.68934145E+00
    12  -0.15510428E+01   0.26431124E-01  -0.63736253E-01   0.31717349E+00  -0.76483504E+00
    15  -0.17234569E+01   0.24796803E-01  -0.57931180E-01   0.37195205E+00  -0.86896770E+00
    18  -0.18730019E+01   0.23758645E-01  -0.53385807E-01   0.42765561E+00  -0.96094453E+00
    21  -0.20018000E+01   0.22923032E-01  -0.49544487E-01   0.48138367E+00  -0.10404342E+01
    23  -0.20772571E+01   0.22395242E-01  -0.47248575E-01   0.51509057E+00  -0.10867172E+01
    25  -0.21452296E+01   0.21868280E-01  -0.45119160E-01   0.54670700E+00  -0.11279790E+01
    32  -0.23346328E+01   0.19993346E-01  -0.38707260E-01   0.63978707E+00  -0.12386323E+01
    36  -0.24167746E+01   0.18933494E-01  -0.35643644E-01   0.68160578E+00  -0.12831712E+01
    56  -0.26762345E+01   0.14447752E-01  -0.24893877E-01   0.80907411E+00  -0.13940571E+01
   100  -0.29652476E+01   0.89310967E-02  -0.14316967E-01   0.89310967E+00  -0.14316967E+01
   180  -0.33640606E+01   0.50097879E-02  -0.80942335E-02   0.90176182E+00  -0.14569620E+01
   250  -0.37051167E+01   0.36391206E-02  -0.61148140E-02   0.90978015E+00  -0.15287035E+01
   325  -0.40595501E+01   0.29226662E-02  -0.50478407E-02   0.94986651E+00  -0.16405482E+01
   550  -0.49604299E+01   0.21949942E-02  -0.36785954E-02   0.12072468E+01  -0.20232275E+01
   750  -0.54994158E+01   0.19385347E-02  -0.30561575E-02   0.14539010E+01  -0.22921181E+01
  1000  -0.58837619E+01   0.16700209E-02  -0.24969390E-02   0.16700209E+01  -0.24969390E+01
  1800  -0.61895995E+01   0.10410919E-02  -0.14830565E-02   0.18739654E+01  -0.26695017E+01
  3000  -0.62097375E+01   0.62964225E-03  -0.89409222E-03   0.18889267E+01  -0.26822767E+01
  5000  -0.62107226E+01   0.37782069E-03  -0.53668950E-03   0.18891035E+01  -0.26834475E+01
  7000  -0.62110746E+01   0.26987397E-03  -0.38341532E-03   0.18891178E+01  -0.26839072E+01
 10000  -0.62113388E+01   0.18891287E-03  -0.26842522E-03   0.18891287E+01  -0.26842522E+01
 13000  -0.62114811E+01   0.14531805E-03  -0.20649523E-03   0.18891347E+01  -0.26844380E+01
 13182  -0.62114877E+01   0.14331171E-03  -0.20364486E-03   0.18891350E+01  -0.26844465E+01
 14210  -0.62115216E+01   0.13294415E-03  -0.18891561E-03   0.18891364E+01  -0.26844908E+01
 15240  -0.62115509E+01   0.12395917E-03  -0.17615020E-03   0.18891378E+01  -0.26845290E+01
 16272  -0.62115766E+01   0.11609752E-03  -0.16498050E-03   0.18891388E+01  -0.26845627E+01
 17306  -0.62115993E+01   0.10916098E-03  -0.15512494E-03   0.18891399E+01  -0.26845922E+01
 18342  -0.62116195E+01   0.10299536E-03  -0.14636455E-03   0.18891409E+01  -0.26846186E+01
 19380  -0.62116376E+01   0.97478931E-04  -0.13852643E-03   0.18891417E+01  -0.26846422E+01
 20420  -0.62116538E+01   0.92514324E-04  -0.13147225E-03   0.18891425E+01  -0.26846633E+01
 21462  -0.62116686E+01   0.88022703E-04  -0.12509005E-03   0.18891433E+01  -0.26846827E+01
